еЫЛЇ, ДњТы, РраЭ, Ъ§СП, ГЩБО, ОљМл, ЪаМл, ЪаГЁМлжЕ, вбЪЕЯжгЏПї, ЮДЪЕЯжгЏПї
U8762571,"""1088""",STK,"-10,000.00","-169,962.63",16.996263,16.931355,"-169,313.55",0.00,649.09
U8762571,"""601633""",STK,0.00,0.00,0.000000,44.059998,0.00,"27,620.96",0.00
U8762571,"""601318""",STK,"3,000.00","238,825.28",79.608428,64.755005,"194,265.01",0.00,"-44,560.27"
U8762571,"""603259""",STK,0.00,0.00,0.000000,152.020432,0.00,"9,529.03",0.00
U8762571,"""2333""",STK,0.00,0.00,0.000000,23.714741,0.00,"-12,358.39",0.00
U8762571,"""1157""",STK,"-20,800.00","-187,062.21",8.993375,8.061096,"-167,670.80",0.00,"19,391.41"
U8762571,"""TUYA""",STK,351.00,"7,371.00",21.000000,20.257200,"7,110.28",0.00,-260.72
U8762571,"""9888""",STK,550.00,"138,600.00",252.000000,178.848572,"98,366.71",0.00,"-40,233.29"
U8762571,"""USD.CNH""",CASH,"180,000.00","1,186,811.20",6.593396,6.478125,"1,166,062.52",0.00,"-20,748.68"
U8762571,"""000157""",STK,"14,500.00","151,481.01",10.446967,9.235000,"133,907.50",0.00,"-17,573.52"
U8762571,"""YALA""",STK,270.00,"2,025.00",7.500000,18.389999,"4,965.30",0.00,"2,940.30"
U8762571,"""2359""",STK,20.00,"3,323.09",166.154477,170.608917,"3,412.18","-6,679.96",89.09
U8762571,"""9626""",STK,500.00,"404,000.00",808.000000,875.300903,"437,650.45",0.00,"33,650.45"
U8762571,"""601088""",STK,"7,000.00","137,773.81",19.681973,19.416000,"135,912.00",0.00,"-1,861.81"
U8762571,"""1772""",STK,"-4,800.00","-520,313.23",108.398589,106.745644,"-512,379.09",-0.00,"7,934.14"
U8762571,"""002460""",STK,"4,000.00","469,805.80",117.451449,117.714432,"470,857.73",-0.00,"1,051.93"
U8762571,"""2899""",STK,"-60,000.00","-611,150.66",10.185844,10.224779,"-613,486.75",0.00,"-2,336.09"
U8762571,"""601899""",STK,"50,000.00","489,797.96",9.795959,9.785000,"489,249.99",-0.00,-547.97