a_code,ts_code,status,rows,message
000002,000002.SZ,ok,256,
000039,000039.SZ,ok,256,
000063,000063.SZ,ok,256,
000157,000157.SZ,ok,256,
000166,000166.SZ,ok,256,
000333,000333.SZ,ok,256,
000338,000338.SZ,ok,256,
000488,000488.SZ,ok,256,
000513,000513.SZ,ok,256,
000756,000756.SZ,ok,256,
000776,000776.SZ,ok,256,
000898,000898.SZ,ok,256,
000921,000921.SZ,ok,256,
001236,001236.SZ,ok,256,
001289,001289.SZ,ok,256,
001389,001389.SZ,ok,256,
002050,002050.SZ,ok,256,
002130,002130.SZ,ok,256,
002202,002202.SZ,ok,256,
002352,002352.SZ,ok,256,
002399,002399.SZ,ok,256,
002460,002460.SZ,ok,256,
002466,002466.SZ,ok,256,
002490,002490.SZ,ok,256,
002594,002594.SZ,ok,256,
002672,002672.SZ,ok,256,
002703,002703.SZ,ok,256,
002714,002714.SZ,ok,256,
002747,002747.SZ,ok,256,
002768,002768.SZ,ok,256,
002803,002803.SZ,ok,256,
002821,002821.SZ,ok,256,
002865,002865.SZ,ok,256,
002881,002881.SZ,ok,256,
002936,002936.SZ,ok,256,
002948,002948.SZ,ok,256,
003021,003021.SZ,ok,256,
003816,003816.SZ,ok,256,
300077,300077.SZ,ok,256,
300347,300347.SZ,ok,256,
300433,300433.SZ,ok,256,
300450,300450.SZ,ok,256,
300476,300476.SZ,ok,256,
300638,300638.SZ,ok,256,
300748,300748.SZ,ok,256,
300750,300750.SZ,ok,256,
300759,300759.SZ,ok,256,
300919,300919.SZ,ok,256,
301087,301087.SZ,ok,256,
301200,301200.SZ,ok,256,
600011,600011.SH,ok,256,
600012,600012.SH,ok,256,
600016,600016.SH,ok,256,
600026,600026.SH,ok,256,
600027,600027.SH,ok,256,
600028,600028.SH,ok,256,
600029,600029.SH,ok,256,
600030,600030.SH,ok,256,
600031,600031.SH,ok,256,
600036,600036.SH,ok,256,
600115,600115.SH,ok,256,
600188,600188.SH,ok,256,
600196,600196.SH,ok,256,
600276,600276.SH,ok,256,
600332,600332.SH,ok,256,
600362,600362.SH,ok,256,
600377,600377.SH,ok,256,
600547,600547.SH,ok,256,
600548,600548.SH,ok,256,
600585,600585.SH,ok,256,
600600,600600.SH,ok,256,
600635,600635.SH,ok,256,
600660,600660.SH,ok,256,
600685,600685.SH,ok,256,
600688,600688.SH,ok,256,
600690,600690.SH,ok,256,
600699,600699.SH,ok,256,
600775,600775.SH,ok,256,
600801,600801.SH,ok,256,
600808,600808.SH,ok,256,
600860,600860.SH,ok,256,
600871,600871.SH,ok,256,
600874,600874.SH,ok,256,
600875,600875.SH,ok,256,
600876,600876.SH,ok,256,
600938,600938.SH,ok,256,
600941,600941.SH,ok,256,
600956,600956.SH,ok,256,
600958,600958.SH,ok,256,
600988,600988.SH,ok,256,
600999,600999.SH,ok,256,
601005,601005.SH,ok,256,
601038,601038.SH,ok,256,
601066,601066.SH,ok,256,
601068,601068.SH,ok,256,
601077,601077.SH,ok,256,
601088,601088.SH,ok,256,
601107,601107.SH,ok,256,
601111,601111.SH,ok,256,
601127,601127.SH,ok,256,
601186,601186.SH,ok,256,
601211,601211.SH,ok,256,
601238,601238.SH,ok,256,
601288,601288.SH,ok,256,
601298,601298.SH,ok,256,
601318,601318.SH,ok,256,
601319,601319.SH,ok,256,
601326,601326.SH,ok,256,
601328,601328.SH,ok,256,
601330,601330.SH,ok,256,
601333,601333.SH,ok,256,
601336,601336.SH,ok,256,
601375,601375.SH,ok,256,
601390,601390.SH,ok,256,
601398,601398.SH,ok,256,
601456,601456.SH,ok,256,
601588,601588.SH,ok,256,
601598,601598.SH,ok,256,
601600,601600.SH,ok,256,
601601,601601.SH,ok,256,
601607,601607.SH,ok,256,
601618,601618.SH,ok,256,
601628,601628.SH,ok,256,
601633,601633.SH,ok,256,
601658,601658.SH,ok,256,
601688,601688.SH,ok,256,
601717,601717.SH,ok,256,
601727,601727.SH,ok,256,
601728,601728.SH,ok,256,
601766,601766.SH,ok,256,
601788,601788.SH,ok,256,
601800,601800.SH,ok,256,
601808,601808.SH,ok,256,
601811,601811.SH,ok,256,
601818,601818.SH,ok,256,
601828,601828.SH,ok,256,
601857,601857.SH,ok,256,
601865,601865.SH,ok,256,
601866,601866.SH,ok,256,
601868,601868.SH,ok,256,
601869,601869.SH,ok,256,
601880,601880.SH,ok,256,
601881,601881.SH,ok,256,
601888,601888.SH,ok,256,
601898,601898.SH,ok,256,
601899,601899.SH,ok,256,
601916,601916.SH,ok,256,
601919,601919.SH,ok,256,
601939,601939.SH,ok,256,
601963,601963.SH,ok,256,
601988,601988.SH,ok,256,
601991,601991.SH,ok,256,
601992,601992.SH,ok,256,
601995,601995.SH,ok,256,
601998,601998.SH,ok,256,
603083,603083.SH,ok,256,
603093,603093.SH,ok,256,
603127,603127.SH,ok,256,
603259,603259.SH,ok,256,
603288,603288.SH,ok,256,
603296,603296.SH,ok,256,
603341,603341.SH,ok,256,
603345,603345.SH,ok,256,
603501,603501.SH,ok,256,
603906,603906.SH,ok,256,
603986,603986.SH,ok,256,
603993,603993.SH,ok,256,
605198,605198.SH,ok,256,
605499,605499.SH,ok,256,
688008,688008.SH,ok,256,
688009,688009.SH,ok,256,
688052,688052.SH,ok,256,
688062,688062.SH,ok,256,
688180,688180.SH,ok,256,
688185,688185.SH,ok,256,
688187,688187.SH,ok,256,
688234,688234.SH,ok,256,
688235,688235.SH,ok,256,
688236,688236.SH,ok,256,
688279,688279.SH,ok,256,
688331,688331.SH,ok,256,
688339,688339.SH,ok,256,
688347,688347.SH,ok,256,
688366,688366.SH,ok,256,
688385,688385.SH,ok,256,
688428,688428.SH,ok,256,
688505,688505.SH,ok,256,
688506,688506.SH,ok,256,
688796,688796.SH,ok,86,
688981,688981.SH,ok,256,
